claim_id,manuscript_section,claim,exact_value,recommended_value,denominator,unit,source_locator,producer,version,direct_or_derived,verification_status,conflicts,notes
C001,Methods,Data source,MIMIC-IV Clinical Database Demo on FHIR 2.1.0,MIMIC-IV Demo FHIR 2.1.0,NA,dataset,docs/RESEARCH_PROTOCOL.md:17-21,scripts/inspect_fhir.py,58c0ab1,direct,verified,None,Official citation pending
C002,Methods,Canonical patients,100,100,NA,patients,reports/canonical_cohort_metadata.json:number_of_patients,scripts/build_canonical_cohort.py,output fingerprint b091...,direct,verified,None,All are development data
C003,Methods,Admissions,128,128,NA,admissions,reports/canonical_cohort_metadata.json:number_of_admissions,scripts/build_canonical_cohort.py,output fingerprint b091...,direct,verified,None,
C004,Methods,ICU stays,140,140,NA,ICU stays,reports/canonical_cohort_metadata.json:number_of_icu_stays,scripts/build_canonical_cohort.py,output fingerprint b091...,direct,verified,None,
C005,Results,Eligible patients,92,92,NA,patients,reports/phase3_incremental_value.json:oof_invariants.number_of_patients,scripts/run_phase3.py,formal run,direct,verified,None,
C006,Results,Eligible windows,8970,"8,970",92 patients,windows,reports/phase3_incremental_value.json:oof_invariants.number_of_windows,scripts/run_phase3.py,formal run,direct,verified,None,Correlated windows
C007,Results,Positive windows,1774,"1,774",8970 windows,windows,reports/canonical_v1/label_distribution.json:positive,scripts/build_canonical_cohort.py,canonical v1,direct,verified,None,
C008,Results,Negative windows,7196,"7,196",8970 windows,windows,reports/canonical_v1/label_distribution.json:negative,scripts/build_canonical_cohort.py,canonical v1,direct,verified,None,
C009,Results,Window prevalence,0.19777034559643256,19.78,8970 windows,percent,reports/canonical_cohort_metadata.json:prevalence,scripts/build_canonical_cohort.py,canonical v1,direct,verified,None,Not patient event prevalence
C010,Methods,Observation history,12,12,each prediction time,hours,configs/windowing.yaml:observation_window_hours,src/deepvital/features/windows.py,58c0ab1,direct,verified,None,t-11 through t
C011,Methods,Prediction horizon,6,6,each prediction time,hours,configs/labeling.yaml:future_horizon_hours,src/deepvital/labeling/hypotension.py,58c0ab1,direct,verified,None,t+1 through t+6
C012,Methods,Primary outcome,"MAP <65 for >=2 consecutive future hourly observations; all 6 observed",same,6 future hours,binary label,configs/labeling.yaml,src/deepvital/labeling/hypotension.py,58c0ab1,direct,verified,None,Strict less-than
C013,Methods,Outer/inner folds,5/3,5 outer and 3 inner,92 patients,folds,configs/phase3_frozen.json:fold_manifest,src/deepvital/phase3/implementation.py,formal run,direct,verified,None,Patient grouped
C014,Methods,Random seed,20260726,20260726,NA,seed,configs/phase3_frozen.json:fold_manifest.seed,Phase 3 implementation,formal run,direct,verified,None,
C015,Methods,Locked features,18,18,NA,predictors,docs/PHASE_3_PROTOCOL.md:5.1,src/deepvital/phase3/prefreeze.py:LOCKED_FEATURES,1586563,direct,verified,None,8 level/trend + 10 missingness
C016,Methods,Candidate,"L2 logistic; C={0.1,1.0}; balanced; lbfgs; 1000 iterations",same,NA,model,configs/phase3_frozen.json:candidate,src/deepvital/phase3/implementation.py,formal run,direct,verified,None,
C017,Methods,Comparator,map_mean_6h,map_mean_6h,NA,ranking score,configs/phase3_frozen.json:benchmark,src/deepvital/phase3/prefreeze.py,formal run,direct,verified,None,Not calibrated probability
C018,Results,Comparator AUROC,0.8416282799601181,0.8416,8970 windows,AUROC,reports/phase3_model_comparison.csv:map_mean_6h,run_phase3.py,c7db731,direct,verified,None,
C019,Results,Comparator AUPRC,0.621869469148825,0.6219,8970 windows,AUPRC,reports/phase3_model_comparison.csv:map_mean_6h,run_phase3.py,c7db731,direct,verified,None,
C020,Results,Candidate AUROC,0.8447827084193712,0.8448,8970 windows,AUROC,reports/phase3_model_comparison.csv:logistic_regression,run_phase3.py,c7db731,direct,verified,None,Raw candidate
C021,Results,Candidate AUPRC,0.6293981555920831,0.6294,8970 windows,AUPRC,reports/phase3_model_comparison.csv:logistic_regression,run_phase3.py,c7db731,direct,verified,None,Raw candidate
C022,Results,Delta AUPRC,0.0075286864432581035,+0.00753,8970 paired windows,AUPRC difference,reports/phase3_paired_comparisons.csv:delta_auprc,run_phase3.py,c7db731,direct,verified,None,Candidate minus comparator
C023,Results,Delta AUPRC CI,"0.0004996287013002788 to 0.01712977187518211","+0.00050 to +0.01713",1000 valid bootstraps,95% percentile CI,reports/phase3_paired_comparisons.csv:delta_auprc,run_phase3.py,c7db731,direct,verified,None,Patient-cluster paired bootstrap
C024,Methods,Advancement margin,0.02,+0.020,NA,absolute delta AUPRC,configs/phase3_frozen.json:validation.advancement_margin,Phase 3 protocol,1586563,direct,verified,None,Development relevance rule; not p-value/MCID
C025,Results,Advancement,false,did not advance,NA,decision,reports/phase3_incremental_value.json:advancement.primary_advancement_passed,run_phase3.py,c7db731,direct,verified,None,Delta below margin
C026,Results,Retained strategy,map_mean_6h,map_mean_6h,NA,strategy,reports/phase3_incremental_value.json:advancement.decision,run_phase3.py,c7db731,direct,verified,None,Parsimonious development strategy
C027,Results,Patient overlap,0,0,5 outer folds,patients,reports/phase3_incremental_value.json:oof_invariants.patient_overlap,run_phase3.py,c7db731,direct,verified,None,
C028,Results,OOF accounting,true,one per eligible window,8970 windows,predictions,reports/phase3_incremental_value.json:oof_invariants.each_window_predicted_once,run_phase3.py,c7db731,direct,verified,None,
C029,Results,Patient-equal delta AUPRC,0.015609437384234592,+0.01561,92 patients,AUPRC difference,reports/phase3_sensitivity_analysis.json:patient_equal_delta_auprc,run_phase3.py,c7db731,direct,verified,None,Sensitivity only
