unit,ucum_code,count
,,94903
%,%,19192
IU/L,IU/L,1108
Inch,Inch,71
K/uL,K/uL,2021
L/min,L/min,5783
L/min/m2,L/min/m2,110
Liters,Liters,7
bpm,bpm,16549
cm,cm,1591
cmH2O,cmH2O,7464
dynes*sec/cm5,dynes*sec/cm5,12
dynes*sec/cm5/m2,dynes*sec/cm5/m2,18
dynes.sec.cm-5/m2,dynes.sec.cm-5/m2,47
g/dL,g/dL,118
g/dl,g/dl,912
insp/min,insp/min,20912
kg,kg,581
mA,mA,219
mEq/L,mEq/L,6512
mL,mL,5738
mL/beat,mL/beat,30
mL/m2,mL/m2,88
mOsm/kg,mOsm/kg,14
mV,mV,189
mg/L,mg/L,6
mg/dL,mg/dL,6109
min,min,110
ml/hr,ml/hr,2209
ml/kg,ml/kg,27
ml/min,ml/min,557
mm/hr,mm/hr,2
mmHg,mmHg,53365
mmol/L,mmol/L,987
msec,msec,1
ng/mL,ng/mL,242
pg/mL,pg/mL,10
sec,sec,3311
ug/dL,ug/dL,4
ug/mL,ug/mL,82
umol/L,umol/L,2
units,units,1068
°C,°C,1814
°F,°F,3379
