filename,reference_path,target_resource_type,count,resource_count
MimicCondition.ndjson.gz,encounter.reference,Encounter,4506,4506
MimicCondition.ndjson.gz,subject.reference,Patient,4506,4506
MimicConditionED.ndjson.gz,encounter.reference,Encounter,545,545
MimicConditionED.ndjson.gz,subject.reference,Patient,545,545
MimicEncounter.ndjson.gz,identifier.assigner.reference,Organization,275,275
MimicEncounter.ndjson.gz,location.location.reference,Location,861,275
MimicEncounter.ndjson.gz,serviceProvider.reference,Organization,275,275
MimicEncounter.ndjson.gz,subject.reference,Patient,275,275
MimicEncounterED.ndjson.gz,identifier.assigner.reference,Organization,222,222
MimicEncounterED.ndjson.gz,partOf.reference,Encounter,172,222
MimicEncounterED.ndjson.gz,serviceProvider.reference,Organization,222,222
MimicEncounterED.ndjson.gz,subject.reference,Patient,222,222
MimicEncounterICU.ndjson.gz,location.location.reference,Location,151,140
MimicEncounterICU.ndjson.gz,partOf.reference,Encounter,140,140
MimicEncounterICU.ndjson.gz,subject.reference,Patient,140,140
MimicLocation.ndjson.gz,managingOrganization.reference,Organization,31,31
MimicMedicationAdministration.ndjson.gz,context.reference,Encounter,35072,36131
MimicMedicationAdministration.ndjson.gz,request.reference,MedicationRequest,35026,36131
MimicMedicationAdministration.ndjson.gz,subject.reference,Patient,36131,36131
MimicMedicationAdministrationICU.ndjson.gz,context.reference,Encounter,20404,20404
MimicMedicationAdministrationICU.ndjson.gz,subject.reference,Patient,20404,20404
MimicMedicationDispense.ndjson.gz,authorizingPrescription.reference,MedicationRequest,14293,14293
MimicMedicationDispense.ndjson.gz,context.reference,Encounter,14293,14293
MimicMedicationDispense.ndjson.gz,subject.reference,Patient,14293,14293
MimicMedicationDispenseED.ndjson.gz,context.reference,Encounter,1082,1082
MimicMedicationDispenseED.ndjson.gz,subject.reference,Patient,1082,1082
MimicMedicationMix.ndjson.gz,ingredient.itemReference.reference,Medication,634,314
MimicMedicationRequest.ndjson.gz,encounter.reference,Encounter,17552,17552
MimicMedicationRequest.ndjson.gz,medicationReference.reference,Medication,15225,17552
MimicMedicationRequest.ndjson.gz,subject.reference,Patient,17552,17552
MimicMedicationStatementED.ndjson.gz,context.reference,Encounter,2411,2411
MimicMedicationStatementED.ndjson.gz,subject.reference,Patient,2411,2411
MimicObservationChartevents.ndjson.gz,encounter.reference,Encounter,668862,668862
MimicObservationChartevents.ndjson.gz,subject.reference,Patient,668862,668862
MimicObservationDatetimeevents.ndjson.gz,encounter.reference,Encounter,15280,15280
MimicObservationDatetimeevents.ndjson.gz,subject.reference,Patient,15280,15280
MimicObservationED.ndjson.gz,encounter.reference,Encounter,2742,2742
MimicObservationED.ndjson.gz,partOf.reference,Procedure,2742,2742
MimicObservationED.ndjson.gz,subject.reference,Patient,2742,2742
MimicObservationLabevents.ndjson.gz,encounter.reference,Encounter,79307,107727
MimicObservationLabevents.ndjson.gz,specimen.reference,Specimen,107727,107727
MimicObservationLabevents.ndjson.gz,subject.reference,Patient,107727,107727
MimicObservationMicroOrg.ndjson.gz,derivedFrom.reference,Observation,338,338
MimicObservationMicroOrg.ndjson.gz,hasMember.reference,Observation,1036,338
MimicObservationMicroOrg.ndjson.gz,subject.reference,Patient,338,338
MimicObservationMicroSusc.ndjson.gz,derivedFrom.reference,Observation,1036,1036
MimicObservationMicroSusc.ndjson.gz,subject.reference,Patient,1036,1036
MimicObservationMicroTest.ndjson.gz,encounter.reference,Encounter,1355,1893
MimicObservationMicroTest.ndjson.gz,hasMember.reference,Observation,338,1893
MimicObservationMicroTest.ndjson.gz,specimen.reference,Specimen,1893,1893
MimicObservationMicroTest.ndjson.gz,subject.reference,Patient,1893,1893
MimicObservationOutputevents.ndjson.gz,encounter.reference,Encounter,9362,9362
MimicObservationOutputevents.ndjson.gz,subject.reference,Patient,9362,9362
MimicObservationVitalSignsED.ndjson.gz,encounter.reference,Encounter,6300,6300
MimicObservationVitalSignsED.ndjson.gz,partOf.reference,Procedure,6300,6300
MimicObservationVitalSignsED.ndjson.gz,subject.reference,Patient,6300,6300
MimicPatient.ndjson.gz,managingOrganization.reference,Organization,100,100
MimicProcedure.ndjson.gz,encounter.reference,Encounter,722,722
MimicProcedure.ndjson.gz,subject.reference,Patient,722,722
MimicProcedureED.ndjson.gz,encounter.reference,Encounter,1260,1260
MimicProcedureED.ndjson.gz,subject.reference,Patient,1260,1260
MimicProcedureICU.ndjson.gz,encounter.reference,Encounter,1468,1468
MimicProcedureICU.ndjson.gz,subject.reference,Patient,1468,1468
MimicSpecimen.ndjson.gz,subject.reference,Patient,1336,1336
MimicSpecimenLab.ndjson.gz,subject.reference,Patient,11122,11122
