filename,resource_count
MimicCondition.ndjson.gz,4506
MimicConditionED.ndjson.gz,545
MimicEncounter.ndjson.gz,275
MimicEncounterED.ndjson.gz,222
MimicEncounterICU.ndjson.gz,140
MimicLocation.ndjson.gz,31
MimicMedication.ndjson.gz,1480
MimicMedicationAdministration.ndjson.gz,36131
MimicMedicationAdministrationICU.ndjson.gz,20404
MimicMedicationDispense.ndjson.gz,14293
MimicMedicationDispenseED.ndjson.gz,1082
MimicMedicationMix.ndjson.gz,314
MimicMedicationRequest.ndjson.gz,17552
MimicMedicationStatementED.ndjson.gz,2411
MimicObservationChartevents.ndjson.gz,668862
MimicObservationDatetimeevents.ndjson.gz,15280
MimicObservationED.ndjson.gz,2742
MimicObservationLabevents.ndjson.gz,107727
MimicObservationMicroOrg.ndjson.gz,338
MimicObservationMicroSusc.ndjson.gz,1036
MimicObservationMicroTest.ndjson.gz,1893
MimicObservationOutputevents.ndjson.gz,9362
MimicObservationVitalSignsED.ndjson.gz,6300
MimicOrganization.ndjson.gz,1
MimicPatient.ndjson.gz,100
MimicProcedure.ndjson.gz,722
MimicProcedureED.ndjson.gz,1260
MimicProcedureICU.ndjson.gz,1468
MimicSpecimen.ndjson.gz,1336
MimicSpecimenLab.ndjson.gz,11122
