code_system,code,display,resource_count,value_type,observed_units
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220001,Problem List,1159,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220045,Heart Rate,13913,valueQuantity,bpm [bpm]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220046,Heart rate Alarm - High,1217,valueQuantity,bpm [bpm]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220047,Heart Rate Alarm - Low,1208,valueQuantity,bpm [bpm]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220048,Heart Rhythm,12460,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220050,Arterial Blood Pressure systolic,5525,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220051,Arterial Blood Pressure diastolic,5524,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220052,Arterial Blood Pressure mean,5560,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220056,Arterial Blood Pressure Alarm - Low,433,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220058,Arterial Blood Pressure Alarm - High,436,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220059,Pulmonary Artery Pressure systolic,325,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220060,Pulmonary Artery Pressure diastolic,324,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220061,Pulmonary Artery Pressure mean,314,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220063,Pulmonary Artery Pressure Alarm - High,36,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220066,Pulmonary Artery Pressure Alarm - Low,36,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220072,Central Venous Pressure Alarm - High,111,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220073,Central Venous Pressure  Alarm - Low,108,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220074,Central Venous Pressure,1386,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220088,Cardiac Output (thermodilution),27,valueQuantity,L/min [L/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220179,Non Invasive Blood Pressure systolic,8347,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220180,Non Invasive Blood Pressure diastolic,8349,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220181,Non Invasive Blood Pressure mean,8342,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220194,Temporary AV interval,1,valueQuantity,msec [msec]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220210,Respiratory Rate,13913,valueQuantity,insp/min [insp/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220224,Arterial O2 pressure,623,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220227,Arterial O2 Saturation,104,valueQuantity,% [%]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220228,Hemoglobin,912,valueQuantity,g/dl [g/dl]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220235,Arterial CO2 Pressure,623,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220245,CO2 production,122,valueQuantity,ml/min [ml/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220274,PH (Venous),128,valueQuantity,units [units]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220277,O2 saturation pulseoxymetry,13540,valueQuantity,% [%]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220292,Minute Volume Alarm - Low,1303,valueQuantity,L/min [L/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220293,Minute Volume Alarm - High,1297,valueQuantity,L/min [L/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220339,PEEP set,1447,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220507,Activated Clotting Time,7,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220545,Hematocrit (serum),922,valueQuantity,% [%]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220546,WBC,832,valueQuantity,K/uL [K/uL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220580,Ammonia,2,valueQuantity,umol/L [umol/L]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220581,Amylase,8,valueQuantity,IU/L [IU/L]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220587,AST,273,valueQuantity,IU/L [IU/L]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220602,Chloride (serum),995,valueQuantity,mEq/L [mEq/L]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220603,Cholesterol,6,valueQuantity,mg/dL [mg/dL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220615,Creatinine (serum),928,valueQuantity,mg/dL [mg/dL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220621,Glucose (serum),931,valueQuantity,mg/dL [mg/dL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220624,HDL,4,valueQuantity,mg/dL [mg/dL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220632,LDH,170,valueQuantity,IU/L [IU/L]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220635,Magnesium,907,valueQuantity,mg/dL [mg/dL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,220644,ALT,273,valueQuantity,IU/L [IU/L]
