model,selected,reference,auroc,auprc,brier_score,patient_equal_weight_auroc,patient_equal_weight_auprc,patient_equal_weight_brier_score
dummy_prevalence,False,False,0.5,0.14119922630560927,0.12394995924147867,0.500000000000009,0.1733549480163085,0.14369069684244198
gaussian_nb,False,False,0.7645899323981515,0.33284011444155165,0.5321554729773694,0.7774908053594668,0.3932509604722939,0.5678376786319502
hist_gradient_boosting,False,False,0.8454858968557599,0.5094325296290492,0.09292231302283653,0.8840273793689253,0.7064364562421741,0.0857826313672199
logistic_regression,False,False,0.8531270997024422,0.49418982150878965,0.12298722904332407,0.9097481026237211,0.7316834425071591,0.11447217379968985
constant_prevalence,False,False,0.5,0.14119922630560927,0.12394995924147867,0.500000000000009,0.1733549480163085,0.14369069684244198
last_map,False,False,0.8223874559490998,0.4373319998122433,0.11590790196846051,0.8669955072585599,0.5566934779895196,0.11902354822380788
map_current,False,False,0.8223874559490998,0.4373319998122433,0.11590790196846051,0.8669955072585599,0.5566934779895196,0.11902354822380788
map_previous,False,False,0.8227491189819957,0.4311655785376637,0.11662119231954272,0.866277184492615,0.5520147838787827,0.12088443164894953
map_min_3h,False,False,0.8418298435421723,0.46502916379182097,0.14940674924348835,0.8762943902198078,0.5664058221979226,0.15263787804180123
map_min_6h,False,False,0.83932391295405,0.44618738346207054,0.182925239624968,0.8758610034282484,0.5618245675766199,0.18322922625447846
map_mean_3h,False,False,0.865397932178754,0.5400561526326646,0.10350193014782215,0.8838602684209905,0.6316967518804181,0.1118354602501972
map_mean_6h,True,True,0.8649437108341218,0.5490388243888983,0.10236742939843732,0.8776528427196714,0.5987595186357727,0.11401211727274692
map_change,False,False,0.5071047074471732,0.13660082775775376,0.294721603003973,0.5214867215516924,0.17253345866029157,0.2827816537698773
map_slope,False,False,0.5552435997641477,0.14774922653858427,0.25043496348234495,0.5205567912005763,0.16750606274227436,0.24991065442416893
shock_index,False,False,0.5927845653873051,0.21297709804847145,0.3226122756694542,0.5600936120491462,0.22620403445197465,0.31607196353841244
modified_shock_index,False,False,0.6691554568266898,0.2811857506865088,0.4223203078154744,0.7061271657788778,0.3169624156032348,0.3994070842467828
map_threshold_60,False,False,0.582315191904233,0.2295646644233062,0.13088330109606705,0.5734786273260505,0.24951566407004733,0.16156808883145216
map_threshold_65,False,False,0.6599664733226377,0.267009771587231,0.15151515151515152,0.7594373279352871,0.4516594964060487,0.12680341019608696
map_threshold_70,False,False,0.7451818256612777,0.2989877151810972,0.20502901353965183,0.8083478281613806,0.4183231842123706,0.18455846424085628
